Username,Likes,Date,Text
Hs Samra,2,2023-09-23T17:08:05Z,"ਪਹਿਲੀ ਵਾਰ ਦੇਖਿਆ , ਸਭ ਹੋਰ ਭਾਸ਼ਾ ਬੋਲਣ ਵਾਲਿਆਂ ਵਿੱਚ ਕੋਈ ਆਪਣੀ ਮਾਂ ਬੋਲੀ ਵਿੱਚ ਗੱਲ ਕਰ ਰਿਹਾ ਬਿਨਾ ਕਿਸੇ ਝਿਜਕ ਦੇ <br><br>❤❤"
zare info,0,2023-09-23T17:06:21Z,Kaka❤
EPIC Study,0,2023-09-23T17:05:32Z,"<a href=""https://youtu.be/No0ODzciEDQ?si=egwMLZAqeOidG4d9"">https://youtu.be/No0ODzciEDQ?si=egwMLZAqeOidG4d9</a>"
Surynath Chauhan,0,2023-09-23T17:04:58Z,Mast banda hai!😅
RAHUL 💕,0,2023-09-23T17:00:53Z,Good human being kaka
I Singh,1,2023-09-23T16:59:50Z,Punjabi mein ek or hota hai... Per wo &#39;kaka ji&quot; hota hai...
pooja&vijay,1,2023-09-23T16:59:27Z,🙏Ye banda jo kuchh bolada dilon bolada.dekho kad tak suchh bol sakada.waheguru ji maihar bakase bai ji noo🙏
Neetu negi 9759,0,2023-09-23T16:56:31Z,Kamal ki bate krte hain ap kaka <br>Amazing 😻 ❤❤❤❤❤
Vidhayak Ji,0,2023-09-23T16:55:55Z,Gore gore ldke ka kya kregi ..mere ek uncle punjabi hain mene to unse h poocha tha iska mtlb jb ye song suna tha ...😂😂😂
Navkomal,0,2023-09-23T16:55:25Z,Dil khush ho gya 😂😂😂
Vidhayak Ji,0,2023-09-23T16:54:17Z,This song has a different fan base❤
armaan khan,0,2023-09-23T16:53:57Z,Fan of kaka
FIRE FINISHER,1,2023-09-23T16:52:55Z,Aaniime
A2 Haryana• 1.5M. views • 1 day ago•,0,2023-09-23T16:52:17Z,काका nu chayer to deni thi
Rana🇨🇦05,0,2023-09-23T16:51:44Z,Blue eyes to mere bhi hai per me kala hu 😢😂😂matlab mere Uper Koy nhi mre ge 😂😂
Jindu Happo,1,2023-09-23T16:50:28Z,Kaka g tere vich v jattbad igo hai
VIKRAM SINGH,0,2023-09-23T16:49:57Z,"Mr Deepak तो Mr Finisher निकले 🎉 <a href=""https://www.youtube.com/watch?v=E37qXV08ef0&amp;t=59m16s"">59:16</a>"
Lovely Bains,0,2023-09-23T16:45:43Z,❤
FUN VIBES,1,2023-09-23T16:44:44Z,Kaka Tussi Great ho.. Thanks Team Lallantop for inviting Kaka.
Neeraj Chauhan,0,2023-09-23T16:43:16Z,artist without filters ....
Ravi,0,2023-09-23T16:41:47Z,I am seeing Khalistan sentiment everywhere
Raah e Mushafir,0,2023-09-23T16:41:00Z,Master saleem fir kya hain
Hira Singh,1,2023-09-23T16:39:24Z,"<a href=""https://www.youtube.com/watch?v=E37qXV08ef0&amp;t=33m15s"">33:15</a> Point be noted."
Badnam Youtuber ,0,2023-09-23T16:37:45Z,Good kaka bro ...thinks 💪
With Kapil Kumar,0,2023-09-23T16:36:23Z,❤❤❤❤❤❤❤❤❤
saurabh rockstar,0,2023-09-23T16:35:51Z,Auto tune left the chat
Akshay Kumar,0,2023-09-23T16:34:29Z,Simple man pure heart
aLL In One,0,2023-09-23T16:32:51Z,Aawaj original super hai yr
Mohd Faizan,0,2023-09-23T16:31:56Z,Kaka bhai hit hai
MISSION PRIMARY EDUCATION,2,2023-09-23T16:29:41Z,0% Overconfidence<br><br>100% Attitude<br><br>0%Fake<br><br>100%Talented<br><br>100%Real<br><br>You are the masterpiece sir❤❤❤❤❤
Bhilai(CG)_ athletes,0,2023-09-23T16:29:07Z,❤❤kaka
buta singh,0,2023-09-23T16:27:40Z,Khushi hui dekh k koi Punjabi singer on lallantop adda te🥰🥰👍
chiranjeev varun,0,2023-09-23T16:25:14Z,"Yar ये बन्दा पूरा scholar है, एकदम full packet."
manoj meena,0,2023-09-23T16:24:16Z,Billo bagge biliya
ROHIT SHARMA,0,2023-09-23T16:23:04Z,Love you kaka❤❤❤
Kumari Neha Chaudhary,0,2023-09-23T16:22:16Z,Thank you lallantop team  kaka k hum v fan h. Bhut achha lga interview dekh kr ❤❤❤❤
Itz_Jasmeet41,0,2023-09-23T16:21:43Z,❤🎉
Guggu Akash,0,2023-09-23T16:21:35Z,😂 real kaka
SHIVAM SAHU,0,2023-09-23T16:20:52Z,थोड़ी बहुत पंजाबी समझ आ गई बाकी बगल से चली गई
Happy,0,2023-09-23T16:18:41Z,Oo chaa lyadoo yr 😅
Narendra Yadav,1,2023-09-23T16:15:44Z,Ek baar elvish yadav ko guest room main dekhne wale like kro❤❤❤
Mandeep Singh,0,2023-09-23T16:15:42Z,One of the best episode
munna,0,2023-09-23T16:15:22Z,Nice man kaka ❤❤❤❤❤
carry Punjabi,0,2023-09-23T16:13:44Z,Pure Punjabi
Hawa Singh Rupana,0,2023-09-23T16:12:39Z,नशा हर जगह हे<br>लेकिन चिट्टे तो बचो
Harpreet Singh,0,2023-09-23T16:12:34Z,Respect for kaka ❤
Kapil Barala,0,2023-09-23T16:12:24Z,"Lallantop ka sab top h bs bottom tikane ki fix jagah nai h, bhai mehmano ko dhang se baitha dia kro😂 khade khade, sidhe tedhe kaise dete h bechare"
Rahmat Ali,0,2023-09-23T16:12:19Z,One clapp for closings 🎉👏
Shikha yadav,0,2023-09-23T16:11:43Z,"<a href=""https://www.youtube.com/watch?v=E37qXV08ef0&amp;t=5m30s"">5:30</a> Itachi Uchiha on T-shirt"
Vish Goyal,0,2023-09-23T16:11:36Z,Dis is power of sidhu mussewala...interview kise di v punjab da naam jithey v aawe othey sidhu moosewala  da naam zroor kitq jau ga
Eklavya study,0,2023-09-23T16:10:33Z,Kuch bhi kaho But i like news reporting red dressed girl❤
Hawa Singh Rupana,0,2023-09-23T16:08:59Z,Music Babbu Maan se uper koi nahi<br>Check new song
Kaka,380,2023-09-23T16:07:30Z,"Boht vdia mahol ehna de office da, vdia lggi sari team.❤🖤"
Alter Ego,0,2023-09-23T16:07:10Z,Punjab ka Taylor Swift!!
Beatz BlackZeus,0,2023-09-23T16:07:08Z,❤❤❤
